190129,ADMINISTRAÇÃO REGIONAL DO JARDIM BOTÂNICO,3128829,4038
190120,ADMINISTRAÇÃO REGIONAL DO LAGO NORTE,2395769,0
190118,ADMINISTRAÇÃO REGIONAL DO LAGO SUL,2807232,39310
190109,ADMINISTRAÇÃO REGIONAL DO PARANOÁ,2450049,2164
190126,ADMINISTRAÇÃO REGIONAL DO PARK WAY,4172541,0
190117,ADMINISTRAÇÃO REGIONAL DO RECANTO DAS EMAS,2383491,3531
190119,ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO,4832080,290069
190123,ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II,6326683,8451
190124,ADMINISTRAÇÃO REGIONAL DO SUDOESTE/OCTOGONAL,3838458,78734
190125,ADMINISTRAÇÃO REGIONAL DO VARJÃO,2867090,56979
190131,ADMINISTRAÇÃO REGIONAL SETOR IND. E ABASTECIMENTO,3250428,42396
